term,definition
1.5°C-consistent emissions pathways,
1.5°C warmer worlds,"Projected worlds in which global warming has reached and, unless otherwise indicated, been limited to 1.5°C above pre-industrial levels. There is no single 1.5°C warmer world and projections of 1.5°C warmer worlds look different depending on whether it is considered on a near-term transient trajectory or at climate equilibrium after several millennia, and, in both cases, if it occurs with or without overshoot. Within the 21st century, several aspects play a role for the assessment of risk and potential impacts in 1.5°C warmer worlds: the possible occurrence, magnitude and duration of an overshoot, the way in which emissions reductions are achieved, the ways in which policies might be able to influence the resilience of human and natural systems, and the nature of the regional and sub-
regional risks. Beyond the 21st century, several elements of the climate system would continue to change even if the global mean temperatures remain stable, including further increases of sea level."
2030 Agenda for Sustainable Development,"A UN resolution in September 2015 adopting a plan of action for people, planet and prosperity in a new global development framework anchored in 17 Sustainable Development Goals (UN, 2015). See also Sustainable Development Goals (SDGs)."
Acceptability of policy or system change,"The extent to which a policy or system change is evaluated unfavourably or favourably, or rejected or supported, by members of the general public (public acceptability) or politicians or governments (political acceptability). Acceptability may vary from totally unacceptable/fully rejected to totally acceptable/fully supported; individuals may differ in how acceptable policies or system changes are believed to be."
Adaptability,See Adaptive capacity.
Adaptation,"In human systems, the process of adjustment to actual or expected climate and its effects, in order to moderate harm or exploit beneficial opportunities. In natural systems, the process of adjustment to actual climate and its effects; human intervention may facilitate adjustment to expected climate and its effects."
Incremental adaptation,Adaptation that maintains the essence and integrity of a system or process at a given scale. [Footnote: This definition builds from the definition used in Park et al. (2012).] Transformational adaptation Adaptation that changes the fundamental attributes of a socio-ecological system in anticipation of climate change and its impacts. Adaptation limits
The point at which an actor’s objectives (or system needs) cannot be secured from intolerable risks,"through adaptive actions. Hard adaptation limit - No adaptive actions are possible to avoid intolerable risks. Soft adaptation limit - Options are currently not available to avoid intolerable risks through adaptive action. See also Adaptation options, Adaptive capacity, and Maladaptive actions (Maladaptation)."
Adaptation behaviour,See Human behaviour.
Adaptation limits,
Adaptation options,"The array of strategies and measures that are available and appropriate for addressing adaptation. They include a wide range of actions that can be categorized as structural, institutional, ecological or behavioural. See also Adaptation, Adaptive capacity, and Maladaptive actions (Maladaptation)."
Adaptation pathways,
Adaptive capacity,"The ability of systems, institutions, humans and other organisms to adjust to potential damage, to take advantage of opportunities, or to respond to consequences. [Footnote: This glossary entry builds from definitions used in previous IPCC reports and the Millennium Ecosystem Assessment (MEA, 2005).] See also Adaptation, Adaptation options, and Maladaptive actions (Maladaptation)."
Adaptive governance,
Aerosol,"A suspension of airborne solid or liquid particles, with a typical size between a few nanometres and 10 μm that reside in the atmosphere for at least several hours. The term aerosol, which includes both the particles and the suspending gas, is often used in this report in its plural form to mean aerosol particles. Aerosols may be of either natural or anthropogenic origin. Aerosols may influence climate in several ways: through both interactions that scatter and/or absorb radiation and through interactions with cloud microphysics and other cloud properties, or upon deposition on snow or ice covered surfaces thereby altering their albedo and contributing to climate feedback. Atmospheric aerosols, whether natural or anthropogenic, originate from two different pathways: emissions of primary particulate matter (PM), and formation of secondary PM from gaseous precursors. The bulk of aerosols are of natural origin. Some scientists use group labels that refer to the chemical composition, namely: sea salt, organic carbon, black carbon (BC), mineral species (mainly desert dust), sulphate,"
"nitrate, and ammonium. These labels are, however, imperfect as aerosols combine particles to create","complex mixtures. See also Short-lived climate forcers (SLCF), and Black carbon (BC)."
